label,cluster_no
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
maize,1
maize,0
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,0
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,7
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
